tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
Castle,Vélines (24),1366200,390,6,1,ni podatka o agenciji
House with pool and terrace,Uzès (30),1025000,219,4,1,By Styles
Villa with pool,Uzès (30),448200,105,3,1,By Cigal&#39;immo
House with pool,Lourmarin (84),861900,120,4,coerce,By Michaël Zingraf Christie&#39;s International Real Estate Lourmarin
House with pool and terrace,Nice (06),1074600,152,5,1,By Michaël Zingraf Real Estate Nice
House with pool and garden,Bordeaux (33),610200,175,4,1,By Agence Lafaye
House,Thiviers (24),475200,250,5,coerce,By Leggett Immobilier
Villa with pool and garden,Pau (64),748500,175,3,1,By Cofim
House with pool and terrace,Uzès (30),1023900,279,8,1,By Styles
House,Erquy (22),901800,300,9,coerce,By Cote Et Bretagne Immobilier
House with terrace,Uzès (30),770100,140,4,1,By Styles
House with pool and terrace,Chateau-d'olonne (85),955800,255,6,coerce,By Megagence
House with terrace,Castelnau-le-Lez (34),1076800,164,3,1,By Lgm Immobilier
House with pool and terrace,Oletta (2B),965600,183,4,1,By Optimhome - Helene Fausto Giovannetti
House,Plozévet (29),897200,200,5,coerce,By Pierres Et Mer
House with pool and terrace,Agde (34),1020600,180,4,1,By Efficity
House with pool and terrace,Salles-sur-Mer (17),927800,238,6,coerce,By Efficity
Villa,Rognes (13),743100,125,3,1,By Mon Office Immobilier
House with pool and terrace,Deshaies (971),864000,340,6,1,By Capifrance - Laurence Werner
House with terrace,Larmor-Plage (56),702000,172,4,1,By Ruseff Latruffe Immobilier
House with pool and terrace,Crespian (30),486000,205,3,1,By 1894 L&#39;immobilier
House with pool and terrace,Saint-Rémy-de-Provence (13),750600,158,3,coerce,By Janssens Immobilier Knight Frank Saint-rémy-de-provence
House with pool and terrace,Les Anses D Arlet (972),1053000,204,9,coerce,By Orpi - H&amp;b Immo
House with terrace,Roncq (59),808900,268,4,coerce,By Meilleurs Biens Immobilier
House with pool and garden,Les Brouzils (85),513000,190,5,1,By Square Habitat Atlantique Vendee
